text,ambience,anecdotes/miscellaneous,food,service,price
I love Indian food and consider myself to be quite an expert on it.,0,0,1,0,0
The tastes makes your mouth water for more.,0,0,1,0,0
"Better than the bagel shop on the corner, but not worth going out of your way for, in my opinion.",0,1,0,0,0
The food was pretty tradional but it was hot and good with large portions.,0,0,1,0,0
"In an area sadly lacking in decent Thai food, this is one of the best spots.",0,0,1,0,0
Look I dont know if the people who wrote the reviews have ever been to a decent place  PLEASE TRY SOMEOTHER PLACES .,0,1,0,0,0
Hurley's is terrific!,0,1,0,0,0
It's a nice place to relax and have conversation.,1,0,0,0,0
"The staff is very kind and well trained, they're fast, they are always prompt to jump behind the bar and fix drinks, they know details of every item in the menu and make excelent recomendations.",0,0,0,1,0
The parathas and kebabs are made when ordered ensuring a level of freshness that is unsurpassed.,0,0,1,0,0
"my picks: Guizhou chicken, fish with hot bean source, fish fillet in spicy source  special menu .",0,0,1,0,0
We ate outside at Haru's Sake bar because Haru's restaurant next door was overflowing.,0,1,0,0,0
It's better than being on the roof of Sutton Place with 19 year old interns jabbing you in the ribs all night.,0,1,0,0,0
it's delicious!,0,0,1,0,0
this little place has a cute interior decor and affordable city prices.,1,0,0,0,1
"Lunch came with pickels and slaw, no extra charge.",0,0,0,0,1
"To finish off such a delightful dinner experience you must have dessert, especially the White Chocolate Bread Pudding with Gelato and hot chocolate.",0,0,1,0,0
Suan was a recommendation that I am glad we heeded.,0,1,0,0,0
We happened upon this place purely by accident and were pleased with the results.,0,1,0,0,0
I had a grat time at Jekyll and Hyde!,0,1,0,0,0
I definitely wouldn't go back.,0,1,0,0,0
"Try everything for that matter, it is all good.",0,0,1,0,0
"I ordered tamarind duck and my wife ordered noodles with ground beef, and we were both delighted by the way the dishes evoked Thai flavors in unexpected ways.",0,0,1,0,0
"We were on our way back to NJ, and since I am in NY, we figured why not grab some food?",0,1,0,0,0
dollar 20 for all you can eat sushi cannot be beaten.,0,0,0,0,1
I have walked by this place for eons and finally went thanks to a girls' night.,0,1,0,0,0
The fries are yummy.,0,0,1,0,0
great experience overall.,0,1,0,0,0
The counter service is bad.,0,0,0,1,0
But they've done a really nice job of offering all the typical pizzeria faves plus some terrific specials like the Godmother pizza  a sort of traditional flat pizza with an olive oil-brushed crust and less tomato sauce than usual .,0,0,1,0,0
"While they keep the capex to a minimum, they do put some cash into the bagels, because they among the best in the city.",0,0,1,0,1
We were sorry to check them off our list as we had enjoyed and recommended the place in the past.,0,1,0,0,0
"It is the type of place to run into old friends and have a late, raucus dinner.",0,1,0,0,0
NO PIZZA 33 for me!,0,1,0,0,0
"Check it out, it won't hurt your stomach or your wallet.",0,1,1,0,1
Price no more than a Jersey deli but way better.,0,0,0,0,1
"I have had so many dinners here and it's always been perfect - on a date with my husband, with my mom, with girlfriends and larger groups.",0,1,0,0,0
"We left, never to return.",0,1,0,0,0
"Trust me, it will be great, and all of it will be devoured in no time.",0,0,1,0,0
"Have eaten at Ginger House several times, and it's always good.",0,1,0,0,0
The food is okay and the prices here are mediocre.,0,0,1,0,1
SO SO SO SO SO good!,0,1,0,0,0
"They are not helpful in the least and will give you the grand run around so by the time the event date rolls around you will not only regret chosing this place, but also become hostile!",0,0,0,1,0
These innovators of french indian fusion do a great job of making dishes as interesting as possible while still being accessible.,0,0,1,0,0
"The blond wood decor is very soothing, the premium sake is excellent and the service is great.",1,0,1,1,0
And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,0,0,1,1,1
I haven't been to the other locations.,0,1,0,0,0
but the service was a bit slow.,0,0,0,1,0
"For myself and family we would only go here to celebrate an occassion, I do prefer smaller, quiter restaurants.",1,1,0,0,0
too large for just two people but nothing was left.,0,0,1,0,0
"I like the ambience, it's very dark and original.",1,0,0,0,0
There was a great deal for 6 Blue Point oysters and a beer or glass of wine for dollar 8!,0,0,0,0,1
Always great service!,0,0,0,1,0
you guys rock.,0,1,0,0,0
"I recommend their Pad See Ew, Pork Chops or Tofu plates.",0,0,1,0,0
The staff is no nonsense.,0,0,0,1,0
We were in search of food and stumbled on this block of Indian restaurants on East Sixth Street.,0,1,0,0,0
"The beverages were excellent, and the dessert was good.",0,0,1,0,0
"Skip this restaurant, it's a big disappointment.",0,1,0,0,0
"After all that, they complained to me about the small tip.",0,0,0,1,0
I was wrong.,0,1,0,0,0
I've overheard comments from him to his employees that should not have been delivered in the dining area and I've been sitting there while he lectured another customer.,0,1,0,1,0
"Great food, great decor, great service.",1,0,1,1,0
"Unless you are eating in the Pizzeria side of this place, and are not in a rush, this place is a bad idea.",0,1,0,0,0
Until you realize that their five minutes is meaningless and your wait may be anywhere from two to twenty minutes it may be frustrating.,0,0,0,1,0
"Volare virgins or weekly regulars, everyone gets treated the same and you can't ask for more than that when the service is this friendly.",0,0,0,1,0
Cute and decorative.,1,0,0,0,0
"However, service was as plain as sesame crusted Salmon I had.",0,0,1,1,0
"The waitress, seems to be more concerned of looking good than actually waitressing.",0,0,0,1,0
"It's like you are transported to the Italian countryside, very romantic and filled with antiques.",1,0,0,0,0
The one vegetarian entree  Abby's treasure  was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.,0,0,1,0,0
It's a steal!,0,0,0,0,1
The food here does a great service to the name  Cantonese that is... .,0,0,1,0,0
What came to our table was burned beyond recognition and stringy.,0,0,1,0,0
I noted it was crossed off on the bill.,0,1,0,0,0
"But, hey, there is anything better with a decent vegetarian selection in Astoria.",0,1,0,0,0
This is a consistently great place to dine for lunch or dinner.,0,1,0,0,0
"Complimentary stuff kept coming, and when the waiter saw me opening a gift, I received my dessert on a plate that had Happy Birthday written on it, with a candlevery nice touch, and attentive staff.",0,0,0,1,0
Our tiny table for two  dinner plates hung over edge  was right in the middle of one of the lanes of waiter traffic.,1,0,0,0,0
"I've been to this restaurant more than a dozen times and when I'm craving for Pho, Lemon grass chicken or Beef Cube on rice, this is the place to go.",0,0,1,0,0
"Ambience is so cute and quaint, good for business although we were there on vacation.",1,0,0,0,0
"Great food, great prices, great service.",0,0,1,1,1
Will absolutely visit again.,0,1,0,0,0
Went for a late weekday lunch.,0,1,0,0,0
The food was boring and expensive.,0,0,1,0,1
Excellent experience.,0,1,0,0,0
Stick to the gulab jamun.,0,0,1,0,0
Great pizza and fantastic service.,0,0,1,1,0
"Alain Ducasse is the best of everything, I mean everything was excelent.I",0,1,0,0,0
"Odd for Ave B, not just odd, The place attracts an eclectic crowd to say the least.",1,0,0,0,0
I have been to Mary's many times and I like it.,0,1,0,0,0
There is also very limited seating and there can be a substantial wait in getting food at peak times.,1,0,0,1,0
I ate here for the first time and absolutely loved it!,0,1,0,0,0
"But after last night, Spice Grill is the only place I'm eating indian cuisine.",0,0,1,0,0
you can actually get 2 salads worth if u take it home and add it to some lettuce!,0,0,1,0,0
The bartender on my most recent visit was so incredibly rude that I will never go back.,0,0,0,1,0
They outshine HH.,0,1,0,0,0
"By the time we were done, it was past 1:00am.",0,1,0,0,0
Le Pere Pinard has a dollar 15 pre-theater menu that is outstanding.,0,0,1,0,0
Salads are a delicious way to begin the meal.,0,0,1,0,0
"I love Ess-a-bagel, but I live on the west side, so I often go to Murray's for convenience.",0,1,0,0,0
"good music, great food, speedy service affordable prices.",1,0,1,1,1
I highly recommend to anyone to give this place a try.,0,1,0,0,0
My steak au poivre was one of the worst I've had.,0,0,1,0,0
"For asian fusion, there are many places further downtown.",0,1,0,0,0
The food was spicy and delicious.,0,0,1,0,0
The service is fantastic.,0,0,0,1,0
I was with a party of 7  close but not next the the front doors  and we were eating with our coats on.,1,0,0,0,0
I think this would be a pretty good spot if it were not so overpriced and overrated.,0,0,0,0,1
"Everytime my husband and I go there, we are never disappointed.",0,1,0,0,0
What a great place.,0,1,0,0,0
This was a repeat visit and we'll definitely be back again.,0,1,0,0,0
I pray it stays open forever.,0,1,0,0,0
I have never had anything like it!,0,1,0,0,0
Another great place to take out-of-towners!,0,1,0,0,0
Even my Indian friend couldn't believe how good and tasty everything was.,0,0,1,0,0
I must give it Yon out of Yon stars!,0,1,0,0,0
"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",0,1,0,0,0
The prices were fantastic.,0,0,0,0,1
"Dip the ingredients in with your chopsticks, swirl them around, and eat.",0,0,1,0,0
Decor is minimalist and clean - nothing to distract or commend.,1,0,0,0,0
I went to Ruby Foos for my birthday and enjoyed our experience there.,0,1,0,0,0
The place's decor and hidden bathrooms made for a good laugh.,1,0,0,0,0
Romantic if you want it to be  brightly lit .,1,0,0,0,0
Somewhat pricey but what the heck.,0,0,0,0,1
Food is great and inexpensive.,0,0,1,0,1
I have eaten a lot of pizza here.,0,1,0,0,0
This restaurant used to be our regular Thursday night dinner location.,0,1,0,0,0
fine dining restaurant quality.,0,0,1,0,0
Go only if you are already in the neighborhood and don't want to bother going farther for a better place.,0,1,0,0,0
"If presentation and service is your thing, then this magic show works.",0,0,0,1,0
"Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread.",0,0,1,0,0
"They brought glasses and the bottle, and just left the bottle at our table.",0,0,0,1,0
The strong scents coming from the left and right of me negatively affected my taste buds.,0,1,0,0,0
I had a huge pastrami sandwich on a roll.,0,0,1,0,0
The soup for the udon was soy sauce and water.,0,0,1,0,0
I care more about the food and ambience.,1,0,1,0,0
"If we were to move from the upper east side, we would genuinely miss this restaurant.",0,1,0,0,0
"Ambience is delightful, service impeccable.",1,0,0,1,0
Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.,0,0,0,1,0
"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.",0,0,1,0,0
"We live in New Jersey and whenever we go into New York City we buy bagels to eat hot and then to freeze  they told me that if I call in the order, they'd bring it out to the car so I wouldn't have to look for parking .",0,0,0,1,0
We could have made a meal of the yummy dumplings from the dumpling menu.,0,0,1,0,0
I look forward to eating here again,0,1,0,0,0
We had the scallops as an appetizer and they were delicious and the sauce was wonderful.,0,0,1,0,0
This place was not ALL THAT!,0,1,0,0,0
Definitely not a restaurant to skip!,0,1,0,0,0
"It is LOUD, HOT and DARK.",1,0,0,0,0
"From the entrees to the sides to the drinks, everything was creatively prepared yet still simple.",0,0,1,0,0
"Largest and freshest pieces of sushi, and delicious!",0,0,1,0,0
I've never been treated so rudely.,0,0,0,1,0
Went on a double date with friend and his girlfriend for a few drinks and appetizers.,0,1,0,0,0
Also a little more expensive than your average bagel place.,0,0,0,0,1
We visit at least once a month.,0,1,0,0,0
kalbi and nebbiolo do work together.,0,0,1,0,0
"La Rosa waltzes in, and I think they are doing it the best.",0,1,0,0,0
The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,0,0,1,1,0
"I work near-by, and they have the BEST oatmeal in the neighborhood- not a packaged or quick-cooked item.",0,0,1,0,0
For an untrendy rip-off- eat here.,0,1,0,0,0
The food is so cheap and the waiters are nice.,0,0,0,1,1
This is a fun restaurant to go to.,0,1,0,0,0
"Consequently, their burgers fell apart in their hands and made such a mess that they did'nt feel like finishing them.",0,1,1,0,0
Incredible food at a very agreable price brings me back just about every other day to this authentic Thai restaurant.,0,0,1,0,1
I read the other review and have to say I had the opposite experience here last Sunday.,0,1,0,0,0
It's to die for!,0,1,0,0,0
The service is awful--the last time I was there  and I do mean the last time  we were told that they needed our table so we would have to leave.,0,0,0,1,0
The lava cake dessert was incredible and I recommend it.,0,0,1,0,0
"My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic.",0,1,0,0,0
"You get what you pay for and with that logic in mind, Spice is a great place to grab some cheap eats and drinks in a beautiful setting.",1,0,1,0,1
"Most people eat there seem to be typical Upper East Side snobs, so be aware.",1,0,0,0,0
"I need at least three rolls to be full, and that's at least dollar 14.00!",0,0,0,0,1
Personal pans are the perfect size for those hungry nights.,0,0,1,0,0
We began with the cheese fondue  the artisanal blend  and added apples and kielbasa to dip.,0,0,1,0,0
I have eaten at Shabu Tatsu at least 5 times and I always want to go back for more!,0,1,0,0,0
"stick with the chicken, beef, and lamb dishes.",0,0,1,0,0
PERFECT FOR DATES!,1,0,0,0,0
"Save your money and don't waste your calories, go to Margharita's on Washington Street instead, they have amazing food and the BEST service.",0,1,0,0,0
"If the weather is nice, try to snag an outside table.",1,0,0,0,0
The entire dining experience was wonderful!,0,1,0,0,0
"No dress codes, no attitudes, plenty of comfort companionship, a great place to relax in an always busy Midtown.",1,0,0,0,0
"Tasty steak, pork loin, the works.",0,0,1,0,0
Service was also horrible and the ambience is not that great.,1,0,0,1,0
Service was quick.,0,0,0,1,0
I was here a few weeks back and we had the worst customer service experience at a restaurant ever.,0,1,0,1,0
Went here last night and had a pleasant experience.,0,1,0,0,0
"The mussaman curry that I ordered was as thin as water and aside from the poorly fried tofu that I ordered in it, they graciously provided me with ONE piece of poorly cooked potato.",0,0,1,0,0
VT is what baby pizzas hope to be when they grow up.,0,1,0,0,0
The service was the only thing good about this restaurant.,0,0,0,1,0
"If you want to save some money, don't go here.",0,0,0,0,1
I found the variety of the sashimi plate to be satisfying - fresh and yummy.,0,0,1,0,0
Keep up the good work guys!,0,1,0,0,0
also make sure you pay attention to the music being piped in - quite a weird selection.,1,0,0,0,0
"I wouldn't even have complained at all if the food at least tasted good but the quality of food was crappy, too.",0,0,1,0,0
I think I've had some the best meals of my life at minnow.,0,0,1,0,0
"Again, the waitress was awesome.",0,0,0,1,0
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",0,0,1,0,0
"First the wrong bread came out with the appetizer, then when i tried to order a second glass of wine for my main course...",0,0,0,1,0
We visited Orsay during NY Restaurant Week and tried their dollar 35 menu.,0,1,0,0,0
"I actually gave Patroon another chance before writing this, but the second visit was even worse.",0,1,0,0,0
I'd call it an 'italian dinner'.,0,1,0,0,0
Katz's deli is a great NY experience.,0,1,0,0,0
Tuk Tuk is one of the rare choices for me to go in Brooklyn.,0,1,0,0,0
My sister says it reminds her of a restaurant run by high-school students who don't know what they are doing.,0,1,0,0,0
And at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water.,0,0,1,1,0
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",0,0,1,0,0
I have taken practically every guest that has come to visit me in NY and hooked a few New Yorkers onto Peep as well.,0,1,0,0,0
As always we had a great glass of wine while we waited.,0,0,1,0,0
"I LOVE their spicy scallop roll, and my boyfriend consistently gets the sesame chicken.",0,0,1,0,0
The specials are usually quite good too.,0,0,1,0,0
The Prix Fixe menu is worth every penny and you get more than enough  both in quantity AND quality .,0,0,1,0,1
Took my sister here before attending a show one evening.,0,1,0,0,0
Overall I would recommend it and go back again.,0,1,0,0,0
We were very pleasantly surprised.,0,1,0,0,0
I really liked this place.,0,1,0,0,0
Decent wine selection too.,0,0,1,0,0
This was on a Tuesday night.,0,1,0,0,0
"You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.",0,0,0,0,1
I loved this place!!,0,1,0,0,0
"Same owner as the guy who owns Typhoon, which is just down the street on St. Marks and 1st Ave.",0,1,0,0,0
"Their sushi, Kamikaze and other Rolls are fresh and well presented.",0,0,1,0,0
"In fact, two people could really share one plate.",0,0,1,0,0
"They treat me like family, morning and night.",0,0,0,1,0
The food is delicious and beautifully prepared along with the friendly and personable service.,0,0,1,1,0
Leave the kids at home!,0,1,0,0,0
Went with mommy  the only person who could afford taking me here .,0,1,0,0,0
delicious simple food in nice outdoor atmosphere.,1,0,1,0,0
Not what I wanted to hear.,0,1,0,0,0
I would go back.,0,1,0,0,0
I really recommend the very simple Unda  Egg  rolls.,0,0,1,0,0
great place to go for a drink too because they have 100 kinds of beer.,0,0,1,0,0
"It's not mind-blowing, but to me, thai food never is and never will be.",0,0,1,0,0
"We could not catch our waiter's eye, and he ignored us.",0,0,0,1,0
There was a small group of us looking somewhere to eat kinda late on a weeknight and we ended up at Pastis.,0,1,0,0,0
"We ate here in March, 2006 and ordered the pre-theatre 3-course dinner with wine flight.",0,0,1,0,0
Metrazur has a beautiful spot overlooking the main terminal.,1,0,0,0,0
Maybe it was just an unintentional mistake but I've experienced the same with other restaurants so I don't appreciate such practice.,0,1,0,0,0
Usually 3 vs. 4 items per dish.,0,0,1,0,0
Everyone I bring here always loves it.,0,1,0,0,0
"Have always found that the waiters will go out of their way to be helpful, despite the fact they are often busy with lots of diners.",0,0,0,1,0
"This is such a lovely, peaceful place to eat outside.",1,0,0,0,0
Moderate prices.,0,0,0,0,1
Scalina Fedeli reminded me why service is so integral to fine dining.,0,0,0,1,0
The portions are large and the servers always surprise us with a different starter.,0,0,1,1,0
"Besides, when you have bad service, that's less money you have to tip.",0,0,0,1,0
"After we got our sashimi order, I could not believe how small the portions were!",0,0,1,0,0
"My GF and I still choose to eat there a lot because of diverse cocktails, the chill decor, and the decent sushi.",1,0,1,0,0
One of my favorite restaurants in the neighborhood.,0,1,0,0,0
Winnie and her staff are the best crew you can find serving you.,0,0,0,1,0
What a ripoff!,0,0,0,0,1
"Don't waste your time, or money!!",0,1,0,0,0
"The food was not very tasty, the portioins were tiny even for such a high quality restaurant.",0,0,1,0,0
This is the kind of place you'd like to take all your friends to and still keep a secret.,0,1,0,0,0
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,0,0,0,1,0
"Fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish's sweetness.",0,0,1,0,0
"However, I was there for a work dinner not long ago when my colleague from London noticed a very large waterbug on the ceiling.",0,1,0,0,0
The service is good and the resturant is clean.,1,0,0,1,0
"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",0,0,1,0,0
"But people from Sichuan will die for it   - Chongqing Hot Pot, chongqing was the biggest city of Sichuan, now became an independent province.",0,1,0,0,0
"The staff was very attentive, the ambience lovely, and the food superb.",1,0,1,1,0
I can't wait for the nex time.,0,1,0,0,0
 Besides that there should be more restaurants like it around the city .,0,1,0,0,0
Not worth the prices.,0,0,0,0,1
"After reading the posts, I was always skeptical to go to The Minnow, despite living in Park Slope.",0,1,0,0,0
I've been living in the Columbia University area for about 10 years with 3 kids - now in their teens.,0,1,0,0,0
I LOVE their Thai noodles with shrimp and chicken and coconut juice is the MUST!,0,0,1,0,0
There was no ambiance.,1,0,0,0,0
No gimmicks here -- the food speaks for itself in its freshness and preparation.,0,0,1,0,0
They wouldnt even let me finish my glass of wine before offering another.,0,0,0,1,0
"First of all, this place is *not* romantic, as claimed by Citysearch's editorial review.",1,0,0,0,0
Would recommend this place as a good date spot if you don't want to drop a ton of cash.,0,1,0,0,1
"I found the food to be outstanding, particulary the salmon dish I had.",0,0,1,0,0
I love and I know gourmet food by excellence!,0,0,1,0,0
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,0,0,0,1,0
Great sushi experience.,0,0,1,0,0
"The steak is good, the fish is good and the sushi was surprisingly great.",0,0,1,0,0
"Having hunted around for a quiet, romantic, yet not hideously expensive restaurant I stumbled across reviews for La Lanterna and gave it a shot.",0,1,0,0,0
They smell like they stuff them with old canned vegetables like the spinach mushroom calzone.,0,0,1,0,0
The ambience is very romantic and definitely a good place to bring a date.,1,0,0,0,0
"still stay away, the table next to us walked out after my table and aanother were serves eventhough they were there much longer...",0,0,0,1,0
"The wait staff is very friendly, if not overly efficient.",0,0,0,1,0
I've been to Joya twice and I will never go again.,0,1,0,0,0
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",1,0,1,0,0
Would recommend - perfect for those looking for a place close to grand central.,0,1,0,0,0
Tell them Herky sent you and get a free confused look from the waiter.,0,1,0,0,0
I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,1,0,1,0,0
Check it out.,0,1,0,0,0
The bagels are fabulous.,0,0,1,0,0
We usually go to the Chart House to celebrate a birthday or anniversary.,0,1,0,0,0
Try the cheesecake!,0,0,1,0,0
Great deal!,0,1,0,0,0
This place is so much fun.,0,1,0,0,0
Simple comfort food and what hot and lage portions.,0,0,1,0,0
"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",1,0,0,0,0
"Two people in our party felt like something else, and Volare immediately obliged with two great dishes that were not in their regular menu.",0,0,1,1,0
Never again!,0,1,0,0,0
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",0,0,1,0,0
Guess the 555Soul ads didn't launch her big modeling career.,0,1,0,0,0
I've always been seated propmtly.,0,0,0,1,0
The makhani was OK --the korma was bland.,0,0,1,0,0
We both opted for a pasta dish and they were served timely and fresh.,0,0,1,1,0
"However, it's not worth a special trip.",0,1,0,0,0
"service is friendly, and never had a problem walking in and getting a table.",0,0,0,1,0
"not only does make the best pizza in NY , maybe anywhere.",0,0,1,0,0
BE CAREFUL before you request extra spice.,0,0,1,0,0
"I live nearby and when they first opened, I ate there a lot.",0,1,0,0,0
We've lived in the area for more than 8 years.,0,1,0,0,0
Try green curry with vegetables.,0,0,1,0,0
The pizza here is delicious.,0,0,1,0,0
The food options rule.,0,0,1,0,0
Monday nights are a bargain at the dollar 28 prix fix - this includes a three course meal plus *three* glasses of wine paired with each course.,0,0,0,0,1
"The portions are HUGE, so it might be good to order three things to split  rather than one appetizer and entree per person  for two people.",0,0,1,0,0
It was not above ordinary and the beef version had cheap  undercooked  beef.,0,0,1,0,0
"Emilio, the owner, is often sitting in the front table greeting guests as they come and go.",0,0,0,1,0
The staff ignored my friends and I the entire time we were there.,0,0,0,1,0
First of all Dal Bukhara Rocks.,0,1,0,0,0
Drinks way over priced.,0,0,0,0,1
"Being from the south, there aren't any good delis in my area and while watching Foods across America on PBS I found out about Katz's Deli.",0,1,0,0,0
I'd definitely recommend this little place.,0,1,0,0,0
"Over price, and small portions .",0,0,1,0,1
Service was good and food is wonderful.,0,0,1,1,0
We generally like good restaurants and eat out often but Kai was way to expensive for what we got.,0,0,0,0,1
Worth visiting the 1st Ave spot because it is the original store.,0,1,0,0,0
Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,0,0,0,1,0
"not the food ,not the ambiance , not the service, I agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out .",0,0,0,1,0
All in all the food was above average and I would return to see how they operate with four or less dinners.,0,0,1,0,0
The lamb meat was under-cooked and EXTRMELY CHEWY.,0,0,1,0,0
Their sake martini is wonderful.,0,0,1,0,0
"overall, a solid restaurant and at less than dollar 40pp  including wine , a solid deal as well.",0,1,0,0,1
The service is not consistently excellent -- just decent.,0,0,0,1,0
I recently tried Suan and I thought that it was great.,0,1,0,0,0
"Stick to dimsum, not super overpriced noodles.",0,0,1,0,1
And the Tom Kha soup was pathetic.,0,0,1,0,0
Be careful of portions - they're HUGE.,0,0,1,0,0
My friends and I showed up on a Sat.,0,1,0,0,0
Would definitely visit again.,0,1,0,0,0
"My co-workers had to wait almost an hour for delivery, only to discover that what they got was not what they ordered.",0,0,0,1,0
"We recently decided to try this location, and to our delight, they have outdoor seating, perfect since I had my yorkie with me.",1,0,0,0,0
just got back from lunch at Tamarind and it was excellent.,0,0,1,0,0
This was one of the BEST restaurants I've ever been to.,0,1,0,0,0
"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",0,0,1,0,0
I've been there three times and have always had wonderful experiences.,0,1,0,0,0
"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",1,0,1,0,1
When we walked in it seemed like it was there for 200 years.,0,1,0,0,0
They also have a back garden open in the summer - cute and French with outdoor seating - what more could you ask for?,1,0,0,0,0
"This is some really good, inexpensive sushi.",0,0,1,0,1
I've never felt more unwelcome than last month at Jimmy's Bronx Cafe.,0,1,0,0,0
Okay service.,0,0,0,1,0
By far the best salad I have had in a fast food restaurant.,0,0,1,0,0
"Even if the food wasn't this good, the garden is a great place to sit outside and relax.",1,0,1,0,0
Another welcome addition to the neighborhood.,0,1,0,0,0
We do not need to go to a four-star restaurant anymore.,0,1,0,0,0
"Overall, worht every penny.",0,0,0,0,1
The Yellowtail was particularly good as well.,0,0,1,0,0
My husband and I enjoyed each of the 6 taste size portions and left completely full.,0,0,1,0,0
Service is average.,0,0,0,1,0
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",0,0,1,1,1
They charge dollar 6.00 for rice.,0,0,0,0,1
"The vibe is very relaxed and cozy, service was great and the food was excellent!",1,0,1,1,0
A cool place to hang with your friends for a couple of healthy drinks and desserts.,1,0,1,0,0
I am going to the mid town location next.,0,1,0,0,0
Decor is nice though service can be spotty.,1,0,0,1,0
I really didn't know what to expect for a restaurant that literally overlooks the main hall of Grand Central.,0,1,0,0,0
I've been here a couple of times and have not been impressed.,0,1,0,0,0
"When I saw that their website had a link to da Ciro in Napoli, I knew there was going to be good pizza!",0,1,0,0,0
Do yourself a favor and walk the extra avenue from joe's to eat here.,0,1,0,0,0
I think the restaurant was too loud  when full  to be romantic.,1,0,0,0,0
Pizza was a little soggy.,0,0,1,0,0
This is the best sushi in new york city - hands down.,0,0,1,0,0
And it was quick which is very important.,0,0,0,1,0
"Toons has recently been redone, so it's now a very attractive space.",1,0,0,0,0
The sicilian is my favorite it is moist not dry like most places but all their pizza is great!,0,0,1,0,0
I have to say that I am pleasantly suprised and I will most likely stop in again if I am in the neighborhood.,0,1,0,0,0
it helps if you know what to order.,0,1,0,0,0
"When family came in he gave them apps to test their palets, and then ordered for them.",0,0,0,1,0
"The only positive was the wait staff, which was prompt, knowledgable, and likeable.",0,0,0,1,0
You can't go wrong with this place.,0,1,0,0,0
"If the omakase is to showcase technique and variety, serving almost 40% of items BBQ-ed and a spicy tuna roll wrapped with not-so-fresh nori seems to be a rather limp performance.",0,0,1,0,0
If you are in the area try The Bagel Shoppe on 74th street which is 3 blocks away on 2nd Ave.,0,1,0,0,0
Suan is a great place that I often take my friends  classmates  too.,0,1,0,0,0
I have been coming here for years and have nothing but good things to say about the service and the great staff at La Lanterna.,0,0,0,1,0
The grilled cheese at home afterwards was better.!!,0,0,1,0,0
"Stay away from the two specialty rolls on the menu, though- too much avocado and rice will fill you up right quick.",0,0,1,0,0
The food was absolutely horrible!,0,0,1,0,0
I've been here twice now.,0,1,0,0,0
"Southern Indian cuisine is still there, too.",0,0,1,0,0
A friend from Seattle and I went on a Thursday night around 8:30.,0,1,0,0,0
"The service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.",0,0,0,1,0
We always have a delicious meal and always leave feeling satisfied.,0,0,1,0,0
Highly recommended is the Spicy Fried Clam Rolls and Spider Rolls.,0,0,1,0,0
We will go back every time we are in the City.,0,1,0,0,0
Not the typical NYC gimmick theme restaurant.,1,0,0,0,0
"Try the hot dogs too, they're snappy and delicious.",0,0,1,0,0
"Food was very good, but not what I would consider out of this world.",0,0,1,0,0
"The wine list isn't great, and the desserts are shipped in from Bruno's down the street, which is not as good as it used to be.",0,0,1,0,0
We had a wonderful meal at Naples 45 a month ago on a visit to NYC.,0,0,1,0,0
We were told that they were booked solid and no other table was available.,0,0,0,1,0
"This place is a literal hole-in-the-wall that is buried within Doyers, right off of Pell St  barber's alley  in Chinatown.",1,0,0,0,0
You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here.,0,0,0,0,1
"I seriously doubt I will ever dine at Jimmy's Bronx, or for that matter, Jimmy's Uptown, again.",0,1,0,0,0
I would recommend this place to anyone and would without a doubt come again.,0,1,0,0,0
The bruschetta and panini's are so yummy!,0,0,1,0,0
IT IS DEFINITELY SPECIAL AND AFFORDABLE.,0,1,0,0,1
Stumbled upon this gem of a pizza place and I will be going back frequently.,0,1,0,0,0
The food has been consistant for years and it never lets you down.,0,0,1,0,0
